球隊名稱,星期,時間,球館,地址,強度,場地數,收費(男),收費(女),用球,最後更新日期,備註
新光普羅,日,1900-2200,新光羽球俱樂部,406台中市太平區樹德五街15號,,,,,,,
劍舞,日,1900-2200,樂活羽球館,435台中市梧棲區中央路一段536-2號,,,,,,,
3C啤酒,日,2000-2300,忠興羽球館,406台中市北屯區景賢南一路57號,,,,,,,
小小,日,2000-2300,民昇羽球一館,403台中市西區民生路491號,,,,,,,
清晨,四,0630-0950,中信羽球館,406台中市北屯區河北一街139號,,,,,,,
凱迪,四,0630-1000,蓋強環中館,408台中市南屯區環中路四段305之1號,,,,,,,
朝陽,四,0700-0900,新福羽球館,406台中市太平區新福路266號,,,,,,,
早安,四,0700-0930,永安羽球館,406台中市北屯區后庄七街259號,,,,,,,
大智,四,0700-1000,大智羽球館,401台中市東區大振街33號,,,,,,,
晨光,四,0730-1000,福慧羽球館,411台中市太平區中山路二段541巷33-1號,,,,,,,
賴興里晨間羽球隊,四,0830-1100,賴興里活動中心,404台中市北區山西路二段125號,,,80,80,,2020/7/3,
東森,四,0900-1100,六氧羽球館,433台中市沙鹿區北中七街39號,,,,,,,
GXS早安,四,0900-1200,永翔羽球館,407台中市西屯區漢翔北街37-1號,,,,,,,
大新,四,0900-1200,大新活動中心三樓,412台中市大里區新興路99巷16弄56號,,,,,,,
日光,四,0900-1200,洲際羽球館,427台中市潭子區崇德路五段435號,,,,,,,
羽你同樂,四,0900-1200,六氧羽球館,433台中市沙鹿區北中七街39號,,,,,,,
羽樂,四,0900-1200,佛雷斯羽球館,427台中市潭子區大豐路三段260號,,,,,,,
快樂,四,0900-1200,普那羽球館,406台中市北屯區山西路三段177號,,,,,,,
南屯羽球笑隊,四,0900-1200,南屯國民運動中心,408台中市南屯區黎明路一段998號,,,,,,,
陽光,四,0900-1230,江文岳黎明館,408台中市南屯區永春東七路968-1號,,,,,,,
煞之人,四,1000-1200,佛雷斯羽球館,427台中市潭子區大豐路三段260號,,,,,,,
金敖啪,四,1000-1300,大墩羽球館,408台中市南屯區大墩十二街1000號,,,,,,,
愛媽,四,1300-1600,江文岳黎明館,408台中市南屯區永春東七路968-1號,,,,,,,
南屯羽球笑隊,四,1400-1700,南屯國民運動中心,408台中市南屯區黎明路一段998號,,,,,,,
熟人球隊,四,1400-1730,中信羽球館,,1-3,2-3,180,180,,2020/7/4,
大觀園,四,1400-1800,民昇羽球一館,403台中市西區民生路491號,,,,,,,
小山豬,四,1500-1700,蓋強環中館,408台中市南屯區環中路四段305之1號,,,,,,,
大智XS,四,1500-1800,大智羽球館,401台中市東區大振街33號,3,依人數,200,150,RSL4,2020/7/2,月繳：男生600/女生500
大觀園海線,四,1500-1900,六氧羽球館,433台中市沙鹿區北中七街39號,,,,,,,
大砲,四,1530-1800,普那羽球館,406台中市北屯區山西路三段177號,,,,,,,
海獅,四,1630-1800,樂活羽球館,435台中市梧棲區中央路一段536-2號,,,,,,,
女子羽球熱血團,四,1800-2000,大墩羽球館,408台中市南屯區大墩十二街1000號,,,,,,,
傑克燃脂減肥幫,四,1800-2000,民昇羽球一館,403台中市西區民生路491號,,,,,,,
就醬,四,1800-2000,忠興羽球館,406台中市北屯區景賢南一路57號,,,,,,,
快樂羽球隊,四,1800-2000,大益活動中心,403西區精誠二十三街30號,3,,120,120,GXS-8S,,月繳400元，季繳1000元
新福,四,1800-2000,新福羽球館,,2-3,1,130,130,okalin AC-9,2020/7/2,
歡樂羽球爽爽打,四,1800-2100,永和羽球館,428台中市大雅區永和路117-15號,1-3,2,200,200,RSL3,2020/7/2,兩小時150
KSI羽球隊,四,1830-2030,民昇羽球二館,402台中市南區美村南路178號,,,,,,,
