球隊名稱,星期,時間,球館,地址,強度,場地數,收費(男),收費(女),用球,最後更新日期,備註
晨光,三,0730-1000,福慧羽球館,411台中市太平區中山路二段541巷33-1號,,,,,,,
賴興里晨間羽球隊,三,0830-1100,賴興里活動中心,404台中市北區山西路二段125號,,,80,80,,2020/7/3,
佛雷斯早安,三,0830-1130,佛雷斯羽球館,427台中市潭子區大豐路三段260號,,,,,,,
GXS早安,三,0900-1200,永翔羽球館,407台中市西屯區漢翔北街37-1號,,,,,,,
三五好友,三,0900-1200,六氧羽球館,433台中市沙鹿區北中七街39號,,,,,,,
早安,三,0900-1200,羽揚羽球館,407台中市西屯區福科路900巷19號之1號,,,,,,,
羽樂,三,0900-1200,普那羽球館,406台中市北屯區山西路三段177號,,,,,,,
陽光,三,0900-1230,江文岳黎明館,408台中市南屯區永春東七路968-1號,,,,,,,
開心,三,0930-1130,福慧羽球館,411台中市太平區中山路二段541巷33-1號,,,,,,,
大新,三,0930-1200,大新活動中心三樓,412台中市大里區新興路99巷16弄56號,,,,,,,
飛龍,三,0930-1230,民昇羽球二館,402台中市南區美村南路178號,,,,,,,
週三亂打團,三,1330-1530,大墩羽球館,408台中市南屯區大墩十二街1000號,,,,,,,
海賊團,三,1330-1700,優漾複合運動會館,407台中市西屯區福科路207號,,,,,,,
南屯羽球笑隊,三,1400-1700,南屯國民運動中心,408台中市南屯區黎明路一段998號,,,,,,,
歡樂,三,1400-1700,羽揚羽球館,407台中市西屯區福科路900巷19號之1號,,,,,,,
米提爾活力羽球隊,三,1500-1800,大都會經貿館,406台中市北屯區中平路1101巷15號,,,,,,,
隨心所羽-語熊隊,三,1500-1800,大智羽球館,401台中市東區大振街33號,,,,,,,
隨便亂打羽球社,三,1630-1830,永翔羽球館,407台中市西屯區漢翔北街37-1號,,,,,,,
同心,三,1800-2000,佛雷斯羽球館,427台中市潭子區大豐路三段260號,,,,,,,
河童,三,1800-2000,傳羽運動館,408台中市南屯區永春東三路477號,,,,,,,
照明,三,1800-2000,國光羽球館,412台中市大里區大明路407號,,,200,200,,2020/7/2,
聯合,三,1800-2000,大翔羽球館,402台中市南區五權南路737-1號,,,,,,,
辰欣,三,1800-2100,東原羽球場,406台中市北屯區東光路724巷1-69號,,,,,,,
樂活,三,1830-2030,大翔羽球館,402台中市南區五權南路737-1號,,,,,,,
SPIL羽球社,三,1900-2100,佛雷斯羽球館,427台中市潭子區大豐路三段260號,,,,,,,
羽世無爭,三,1900-2100,福慧羽球館,411台中市太平區中山路二段541巷33-1號,1-3,2,150,120,RSL4或同等級,2020/7/2,
逃家,三,1900-2200,磐石羽球運動會館,412台中市大里區中山路330號,,,,,,,
高手雲集,三,1900-2200,順豐羽球館,428台中市大雅區中山五路21號,3,3,200,200,,,
麻六甲,三,1900-2200,永翔羽球館,407台中市西屯區漢翔北街37-1號,,,,,,,
楓清,三,1900-2200,佛雷斯羽球館,427台中市潭子區大豐路三段260號,,,,,,,
劍舞,三,1900-2200,樂活羽球館,435台中市梧棲區中央路一段536-2號,,,,,,,
冠軍,三,1900-2300,永安羽球館,406台中市北屯區后庄七街259號,,,,,,,
Mini羽球俱樂部,三,1930-2200,環中路1006號,407台中市西屯區環中路1006號,,,,,,,
大聯盟,三,1930-2200,帥宏羽球館,429台中市神岡區大洲路123巷123之1號,,,,,,,
逢甲青年團羽球社,三,1930-2300,普那羽球館,406台中市北屯區山西路三段177號,,,,,,,
開心,三,1930-2300,新光羽球俱樂部,406台中市太平區樹德五街15號,,,,,,,
F1,三,2000-2200,新光羽球俱樂部,406台中市太平區樹德五街15號,,,,,,,
OK,三,2000-2200,中信羽球館,406台中市北屯區河北一街139號,,,,,,,
羽有榮焉,三,2000-2200,大墩羽球館,408台中市南屯區大墩十二街1000號,,,,,,,
羽林,三,2000-2200,黎明羽球館,408台中市南屯區黎明路二段658號,,,,,,,
防彈,三,2000-2200,朝馬國民運動中心,407台中市西屯區朝貴路199號,,,,,,,
阿涼,三,2000-2200,欣欣羽球館,408台中市南屯區黎明路一段206巷50號,,,,,,,
釘孤隻,三,2000-2200,大墩羽球館,408台中市南屯區大墩十二街1000號,,,,,,,
週三羽球團,三,2000-2200,台體,404台中市北區雙十路一段16號,,,,,,,
新雨,三,2000-2200,鴻毅國際羽球館,412台中市大里區工業九路128號,,,,,,,
歡樂羽球隊,三,2000-2200,大都會,,,,,,,,
啼專,三,2000-2220,大都會崇德館,406台中市北屯區崇德九路607號,,,,,,,
3C啤酒,三,2000-2300,忠興羽球館,406台中市北屯區景賢南一路57號,,,,,,,
大里羽神,三,2000-2300,鴻毅國際羽球館,412台中市大里區工業九路128號,,,,,,,
永成,三,2000-2300,福慧羽球館,411台中市太平區中山路二段541巷33-1號,,,,,,,
星辰,三,2000-2300,東原羽球場,406台中市北屯區東光路724巷1-69號,,,,,,,
活力肉咖羽球團,三,2000-2300,鴻毅國際羽球館,412台中市大里區工業九路128號,,,,,,,
優力,三,2000-2300,六氧羽球館,433台中市沙鹿區北中七街39號,,,,,,,
ㄚ狠大,三,2000-2330,福慧羽球館,411台中市太平區中山路二段541巷33-1號,,,,,,,
帥宏,三,2000-2330,帥宏羽球館,429台中市神岡區大洲路123巷123之1號,,,,,,,
Pro,三,2000-2400,羽晨羽球館,411台中市太平區永成北路286號,,,,,,,
文起,三,2030-2230,民昇羽球一館,403台中市西區民生路491號,,,,,,,
羊咩咩,三,2030-2230,民昇羽球二館,402台中市南區美村南路178號,,,,,,,
MST-JOYFUL9,三,2030-2300,大翔羽球館,402台中市南區五權南路737-1號,,,,,,,
初中羽球團,三,2030-2300,民昇羽球一館,403台中市西區民生路491號,,,,,,,
清晨,五,0630-0950,中信羽球館,406台中市北屯區河北一街139號,,,,,,,
凱迪,五,0630-1000,蓋強環中館,408台中市南屯區環中路四段305之1號,,,,,,,
朝陽,五,0700-0900,新福羽球館,406台中市太平區新福路266號,,,,,,,
早安,五,0700-0930,永安羽球館,406台中市北屯區后庄七街259號,,,,,,,
大智,五,0700-1000,大智羽球館,401台中市東區大振街33號,,,,,,,
晨光,五,0730-1000,福慧羽球館,411台中市太平區中山路二段541巷33-1號,,,,,,,
活力,五,0800-1200,樂活羽球館,435台中市梧棲區中央路一段536-2號,,,,,,,
佛雷斯早安,五,0830-1100,佛雷斯羽球館,427台中市潭子區大豐路三段260號,,,,,,,
賴興里晨間羽球隊,五,0830-1100,賴興里活動中心,404台中市北區山西路二段125號,,,80,80,,2020/7/3,
三五好友,五,0830-1130,六氧羽球館,433台中市沙鹿區北中七街39號,,,,,,,
GXS早安,五,0900-1200,永翔羽球館,407台中市西屯區漢翔北街37-1號,,,,,,,
羽樂,五,0900-1200,普那羽球館,406台中市北屯區山西路三段177號,,,,,,,
樂活,五,0900-1200,中信羽球館,406台中市北屯區河北一街139號,,,,,,,
陽光,五,0900-1230,江文岳黎明館,408台中市南屯區永春東七路968-1號,,,,,,,
大新,五,0930-1200,大新活動中心三樓,412台中市大里區新興路99巷16弄56號,,,,,,,
飛龍,五,0930-1230,民昇羽球二館,402台中市南區美村南路178號,,,,,,,
5桑,五,1400-1700,中信羽球館,406台中市北屯區河北一街139號,,,,,,,
南屯羽球笑隊,五,1400-1700,南屯國民運動中心,408台中市南屯區黎明路一段998號,,,,,,,
歡樂,五,1400-1700,羽揚羽球館,407台中市西屯區福科路900巷19號之1號,,,,,,,
米提爾活力羽球隊,五,1500-1800,大都會經貿館,406台中市北屯區中平路1101巷15號,,,,,,,
照明,五,1800-2000,國光羽球館,412台中市大里區大明路407號,,,200,200,,2020/7/2,
聯合,五,1800-2000,大翔羽球館,402台中市南區五權南路737-1號,,,,,,,
TGIF,五,1800-2030,中科活力羽球館,407台中市西屯區中科路1719號,,,,,,,
S.F.J神秘組織,五,1800-2200,黎明羽球館,408台中市南屯區黎明路二段658號,,,,,,,
吉嘉,五,1830-2030,佛雷斯羽球館,427台中市潭子區大豐路三段260號,,,,,,,
如羽得水,五,1830-2030,大翔羽球館,402台中市南區五權南路737-1號,,,,,,,
NAPA品牌球隊,五,1830-2100,永翔羽球館,407台中市西屯區漢翔北街37-1號,1-3,2,200,180,"NAPA特選鴨毛
 RSL3號同級",2020/7/2,
未來之星,五,1900-2200,樂活羽球館,435台中市梧棲區中央路一段536-2號,,,,,,,
羽你同行,五,1900-2200,蓋強環中館,408台中市南屯區環中路四段305之1號,,,,,,,
瘋∞羽,五,1900-2200,北區國民運動中心,404台中市北區崇德路一段55號,,,,,,,
熱血,五,1900-2200,磐石羽球運動會館,412台中市大里區中山路330號,,,,,,,
熱帶羽林,五,1900-2200,大智羽球館,401台中市東區大振街33號,2-5,3,220,170,RSL4,2020/7/3,
歡樂星期五,五,1900-2200,國光羽球館,412台中市大里區大明路407號,,,,,,,
早晚安動滋動滋,五,1930-2230,台體,404台中市北區雙十路一段16號,,,,,,,
家園,五,1930-2230,帥宏羽球館,429台中市神岡區大洲路123巷123之1號,,,,,,,
F1,五,2000-2200,新光羽球俱樂部,406台中市太平區樹德五街15號,,,,,,,
七期聯盟羽毛球,五,2000-2200,大都會永春館,408台中市南屯區文心南五路三段392巷31號,,,,,,,
羽球新手村,五,2000-2200,永安羽球館,406台中市北屯區后庄七街259號,,,,,,,
週五好康夢幻隊,五,2000-2200,民昇羽球二館,402台中市南區美村南路178號,,,,,,,
熱血羽球團,五,2000-2200,新光羽球俱樂部,406台中市太平區樹德五街15號,1-3,2,150,150,,2020/7/3,
FNC,五,2000-2230,新光羽球俱樂部,406台中市太平區樹德五街15號,,,,,,,
山羽海,五,2000-2230,永翔羽球館,407台中市西屯區漢翔北街37-1號,,,,,,,
麥里骨,五,2000-2230,大墩羽球館,408台中市南屯區大墩十二街1000號,,,,,,,
Feather,五,2000-2300,永安羽球館,406台中市北屯區后庄七街259號,,,,,,,
小嫩咖歡樂羽球團,五,2000-2300,大翔羽球館,402台中市南區五權南路737-1號,,,,,,,
台中納豆羽球學院,五,2000-2300,東原羽球場,406台中市北屯區東光路724巷1-69號,1-4,4,250,200,,2020/7/3,納豆羽球學院FB粉絲團: https://www.facebook.com/groups/360993241251343/
永成,五,2000-2300,福慧羽球館,411台中市太平區中山路二段541巷33-1號,,,,,,,
羽球共五,五,2000-2300,台體,404台中市北區雙十路一段16號,,4,200,200,RSL4,2020/7/3,兩小時150
羽球咖,五,2000-2300,順豐羽球館,428台中市大雅區中山五路21號,1-3,2,230,200,RSL4,2020/7/3,球隊打比較晚，會到十二點，有需求的同好們如果臨打不過癮，還可以再加一小時
羽揚,五,2000-2300,羽揚羽球館,407台中市西屯區福科路900巷19號之1號,,,,,,,
羽過天晴,五,2000-2300,傳羽運動館,408台中市南屯區永春東三路477號,,,,,,,
星辰,五,2000-2300,東原羽球場,406台中市北屯區東光路724巷1-69號,,,,,,,
活力肉咖羽球團,五,2000-2300,鴻毅國際羽球館,412台中市大里區工業九路128號,,,,,,,
飛象,五,2000-2300,蓋強環中館,408台中市南屯區環中路四段305之1號,,,,,,,
麻吉,五,2000-2300,佛雷斯羽球館,427台中市潭子區大豐路三段260號,,,,,,,
磐石,五,2000-2300,磐石羽球運動會館,412台中市大里區中山路330號,,,,,,,
優力,五,2000-2300,六氧羽球館,433台中市沙鹿區北中七街39號,,,,,,,
Pro,五,2000-2400,羽晨羽球館,411台中市太平區永成北路286號,,,,,,,
978,五,2030-2230,民昇羽球一館,403台中市西區民生路491號,,,,,,,
笑傲江湖,五,2030-2230,大翔羽球館,402台中市南區五權南路737-1號,3,2,200,200,勝利比賽級,2020/7/2,月繳700元/季繳2100元
小確幸,五,2030-2250,中信羽球館,406台中市北屯區河北一街139號,,,,,,,
聯盛,五,2030-2300,大翔羽球館,402台中市南區五權南路737-1號,,,,,,,
海綿體寶寶,五,2100-2300,東原羽球場,406台中市北屯區東光路724巷1-69號,,,,,,,
真的要打球(RLB)速打團,五,2100-2300,洲際羽球館,427台中市潭子區崇德路五段435號,,,,,,,
5夜吵手,五,2100-2400,民昇羽球二館,402台中市南區美村南路178號,,,,,,,
清晨,六,0630-0950,中信羽球館,406台中市北屯區河北一街139號,,,,,,,
凱迪,六,0630-1000,蓋強環中館,408台中市南屯區環中路四段305之1號,,,,,,,
朝陽,六,0700-0900,新福羽球館,406台中市太平區新福路266號,,,,,,,
友樂,六,0700-1000,中信羽球館,406台中市北屯區河北一街139號,,,,,,,
永翔GXS早鳥隊,六,0700-1000,永翔羽球館,407台中市西屯區漢翔北街37-2號,1-3,,220,180,,2020/7/2,
早安,六,0700-1000,永安羽球館,406台中市北屯區后庄七街259號,,,,,,,
大智,六,0700-1100,大智羽球館,401台中市東區大振街33號,,,,,,,
晨光,六,0730-1030,福慧羽球館,411台中市太平區中山路二段541巷33-1號,,,,,,,
達康,六,0800-1100,新福羽球館,406台中市太平區新福路266號,,,,,,,
賴興里晨間羽球隊,六,0830-1200,賴興里活動中心,404台中市北區山西路二段125號,,,80,80,,2020/7/3,
早起鳥兒有蟲吃,六,0830-1100,大翔羽球館,,,2,150,150,,2020/7/4,人數上限 14人
優速假日團,六,0830-1130,六氧羽球館,433台中市沙鹿區北中七街39號,,,,,,,
羽你同樂,六,0900-1100,六氧羽球館,433台中市沙鹿區北中七街39號,,,,,,,
大新,六,0900-1200,大新活動中心三樓,412台中市大里區新興路99巷16弄56號,,,,,,,
大新早打羽球,六,0900-1200,大新羽球館,408台中市南屯區大墩十一街64號,1-3,,150,150,比賽級鵝毛羽毛球,2020/7/4,
日光羽球隊,六,0900-1200,洲際羽球館,427台中市潭子區崇德路五段435號,4,5,200,170,AA橘桶/SDK黑桶,2020/7/2,
永翔GXS早安隊,六,0900-1200,永翔羽球館,407台中市西屯區漢翔北街37-1號,1-3,,220,180,,2020/7/2,
早安隊,六,0900-1200,新光羽球俱樂部,406台中市太平區樹德五街15號,,3,180,150,極限鵝毛球,2020/7/3,"男生$1800 可打12次；平均每次$150
 女生$1500 可打12次；平均每次$125"
卓越,六,0900-1200,羽揚羽球館,407台中市西屯區福科路900巷19號之1號,,,,,,,
週六不想賴床,六,0900-1200,民昇羽球二館,402台中市南區美村南路178號,,,,,,,
輕鬆打BOSS,六,0900-1200,永和羽球館,428台中市大雅區永和路117-15號,,,,,,,
穩鐵克,六,0900-1200,佛雷斯羽球館,427台中市潭子區大豐路三段260號,,,,,,,
青創,六,0930-1230,中科活力羽球館,407台中市西屯區中科路1719號,,,,,,,
邦邦羽球隊,六,1000-1200,南屯國民運動中心,408台中市南屯區黎明路一段998號,,,,,,,
輕鬆打,六,1000-1200,蓋強潭子館,427台中市潭子區民族路一段368號,,,,,,,
田心,六,1000-1300,田新公園活動中心,408台中市南屯區大墩六街319巷41號,3,2,200,200,勝利比賽級,2020/7/3,固定10人
羽我為伍,六,1200-1500,北區國民運動中心,404台中市北區崇德路一段55號,,,,,,,
OWO PRO帶你飛雙打訓練團,六,1300-1500,忠興羽球館,406台中市北屯區景賢南一路57號,,,,,,,
SPIL羽球社,六,1400-1600,佛雷斯羽球館,427台中市潭子區大豐路三段260號,,,,,,,
企業主,六,1400-1600,大墩羽球館,408台中市南屯區大墩十二街1000號,,,,,,,
優漾,六,1400-1700,優漾複合運動會館,,1-3,,250,250,YY AS-20,2020/7/3,
新中,六,1400-1800,大墩羽球館,408台中市南屯區大墩十二街1000號,,,,,,,
撲克黑桃羽球隊,六,1400-1800,黎明羽球館,408台中市南屯區黎明路二段658號,,依人數,200,200,RSL4,,
PN羽球隊,六,1430-1700,台體,404台中市北區雙十路一段16號,1-5,3-4,200,150,勝利比賽級,2020/7/3,"季繳平均男生138/次 女生100/次
 PN羽球隊粉絲團 https://www.facebook.com/PN94666/"
大觀園周末,六,1430-1730,六氧羽球館,433台中市沙鹿區北中七街39號,,,,,,,
氣羽軒昂,六,1500-1700,大都會福華館,407台中市西屯區福順路65號,,,,,,,
精技,六,1500-1800,普那羽球館,406台中市北屯區山西路三段177號,,,,,,,
精英,六,1500-1800,中信羽球館,406台中市北屯區河北一街139號,,,,,,,
普那,六,1530-1800,普那羽球館,406台中市北屯區山西路三段177號,,,,,,,
羽神羽球隊,六,1600-1830,蓋強環中館,408台中市南屯區環中路四段305之1號,1-5,4,180,180,,2020/7/3,"季繳費用：1500元/3個月(可分別各月初起繳)
 不接受臨時現場報名"
統一發票好難隊,六,1730-1930,江文岳黎明館,408台中市南屯區永春東七路968-1號,,,,,,,
添財笑隊,六,1800-2000,民昇羽球一館,403台中市西區民生路491號,,,,,,,
樂活,六,1800-2100,永和羽球館,428台中市大雅區永和路117-15號,,,,,,,
